symbol,horizon,weighted_score,technical_score,fundamental_score,news_sentiment,data_quality,price_source,recommendation,reasons,news_headlines,trend,current_price,entry_zone,stop_loss,take_profit_1,take_profit_2,tp1_pct,tp2_pct,risk_reward,position_size,rebalance,rsi
HMB,swing,72.5,80,55,0,LIVE,yfinance(HMB.KA),BUY,ROE 18.1% (good) | P/E 5.7 (deep value) | Div yield 10.3% (high income),,Bullish,PKR 117.00,PKR 115.83 - 118.17,PKR 112.66 (-3.7%),PKR 120.61 (+3.1%),PKR 123.03 (+5.2%),+3.1%,+5.2%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,56.3
SYS,long_term,72.4,70,74,0,LIVE,yfinance(SYS.KA),ACCUMULATE,ROE 22.4% (excellent) | D/E 1 (low leverage) | P/E 1.0 (deep value),"Supernet plans right issue of up to Rs914.8m The Board of Directors of Supernet Technologies Limited (PSX: STL) has approved, in principle, the compan | ITANZ secures strategic tech MoUs during PM's China visit iTANZ Technologies Limited (PSX:ITANZ)  signed Memorandums of Understanding (MoUs) with thre",Bullish,PKR 147.73,PKR 143.30 - 146.25,PKR 130.00 (-12.0%),PKR 177.28 (+20.0%),PKR 206.82 (+40.0%),+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,46.2
MARI,long_term,72.4,70,74,0,LIVE,yfinance(MARI.KA),ACCUMULATE,ROE 25.4% (excellent) | D/E 36 (low leverage) | P/E 11.7 (value),,BEARISH,PKR 658.11,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
NBP,long_term,72.4,90,59,1,LIVE,yfinance(NBP.KA),ACCUMULATE,ROE 17.9% (good) | P/E 5.0 (deep value) | Div yield 18.5% (high income),"SBP adds SAR, AED to Naya Pakistan Certificates The State Bank of Pakistan has issued updated rates of return for Conventional Naya Pakistan Certifica | Pakistan targets 4% GDP growth in FY27 Pakistan has set a GDP growth target of 4% for fiscal year 2026-27, banking on a recovery across agriculture, i",Bullish,PKR 189.09,PKR 183.42 - 187.20,PKR 166.40 (-12.0%),PKR 226.91 (+20.0%),PKR 264.73 (+40.0%),+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,49.5
MUREB,long_term,72.0,75,70,0,LIVE,yfinance(MUREB.KA),ACCUMULATE,ROE 19.5% (good) | D/E 6 (low leverage) | P/E 7.4 (deep value),,BEARISH,PKR 933.00,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
FATIMA,swing,71.8,75,71,-3,LIVE,yfinance(FATIMA.KA),BUY,ROE 22.7% (excellent) | D/E 15 (low leverage) | P/E 10.8 (value),"Oil industry opposes windfall tax in upcoming budget | Govt mulls scrapping export tax in budget | Solar panels, fertilizers may escape tax hike in upcoming budget The federal government is reportedly planning a series of tax relief measures in the ",Bearish,PKR 139.66,PKR 138.26 - 141.06,PKR 132.82 (-4.9%),PKR 145.36 (+4.1%),PKR 149.16 (+6.8%),+4.1%,+6.8%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,55.2
MEBL,long_term,71.8,90,58,1,LIVE,yfinance(MEBL.KA),ACCUMULATE,ROE 33.9% (excellent) | P/E 9.7 (value) | Div yield 5.8% (solid),"SBP adds SAR, AED to Naya Pakistan Certificates The State Bank of Pakistan has issued updated rates of return for Conventional Naya Pakistan Certifica | Pakistan targets 4% GDP growth in FY27 Pakistan has set a GDP growth target of 4% for fiscal year 2026-27, banking on a recovery across agriculture, i",Bullish,PKR 485.77,PKR 471.20 - 480.91,PKR 427.48 (-12.0%),PKR 582.92 (+20.0%),PKR 680.08 (+40.0%),+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,52.6
PABC,very_long_term,71.8,75,71,0,LIVE,yfinance(PABC.KA),ACCUMULATE,ROE 25.8% (excellent) | D/E 10 (low leverage) | P/E 7.3 (deep value),,BEARISH,PKR 107.28,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
CHCC,very_long_term,71.6,50,77,0,LIVE,yfinance(CHCC.KA),ACCUMULATE,ROE 21.4% (excellent) | D/E 22 (low leverage) | P/E 7.3 (deep value),,BEARISH,PKR 275.24,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
HINOON,swing,71.5,70,75,0,LIVE,yfinance(HINOON.KA),BUY,ROE 29.1% (excellent) | D/E 7 (low leverage) | P/E 12.3 (fair),,Bearish,PKR 965.50,PKR 955.85 - 975.15,PKR 927.47 (-3.9%),PKR 997.20 (+3.3%),"PKR 1,018.33 (+5.5%)",+3.3%,+5.5%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,57.2
INIL,swing,71.5,85,40,0,LIVE,yfinance(INIL.KA),BUY,ROE 6.1% (weak) | D/E 7 (low leverage) | P/E 14.5 (fair),,Bearish,PKR 161.61,PKR 159.99 - 163.23,PKR 153.51 (-5.0%),PKR 168.36 (+4.2%),PKR 172.86 (+7.0%),+4.2%,+7.0%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,53.7
UBL,long_term,71.4,90,59,0,LIVE,yfinance(UBL.KA),ACCUMULATE,ROE 36.8% (excellent) | P/E 7.2 (deep value) | Div yield 7.3% (solid),"PSX rebounds in April after brutal slide After enduring back-to-back double-digit monthly losses, the sharpest in years, Pakistan's equity market stag | SBP adds SAR, AED to Naya Pakistan Certificates The State Bank of Pakistan has issued updated rates of return for Conventional Naya Pakistan Certifica | Pakistan targets 4% GDP growth in FY27 Pakistan has set a GDP growth target of 4% for fiscal year 2026-27, banking on a recovery across agriculture, i",Bullish,PKR 404.77,PKR 392.63 - 400.72,PKR 356.20 (-12.0%),PKR 485.72 (+20.0%),PKR 566.68 (+40.0%),+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,54.0
FHAM,swing,71.4,75,63,0,LIVE,yfinance(FHAM.KA),BUY,ROE 14.3% (fair) | D/E 0 (low leverage) | P/E 4.2 (deep value),,Bearish,PKR 31.73,PKR 31.41 - 32.05,PKR 30.09 (-5.2%),PKR 33.09 (+4.3%),PKR 34.01 (+7.2%),+4.3%,+7.2%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,56.2
TGL,long_term,71.2,85,62,0,LIVE,yfinance(TGL.KA),ACCUMULATE,ROE 18.2% (good) | D/E 4 (low leverage) | P/E 7.2 (deep value),,BEARISH,PKR 177.26,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
BAHL,swing,71.2,75,59,1,LIVE,yfinance(BAHL.KA),BUY,ROE 18.2% (good) | P/E 7.2 (deep value) | Div yield 8.6% (high income),"SBP adds SAR, AED to Naya Pakistan Certificates The State Bank of Pakistan has issued updated rates of return for Conventional Naya Pakistan Certifica | Pakistan targets 4% GDP growth in FY27 Pakistan has set a GDP growth target of 4% for fiscal year 2026-27, banking on a recovery across agriculture, i",Bearish,PKR 174.00,PKR 172.26 - 175.74,PKR 164.01 (-5.7%),PKR 182.32 (+4.8%),PKR 187.88 (+8.0%),+4.8%,+8.0%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,57.1
THALL,long_term,71.2,85,62,0,LIVE,yfinance(THALL.KA),ACCUMULATE,ROE 17.2% (good) | D/E 6 (low leverage) | P/E 5.5 (deep value),,Bullish,PKR 622.05,PKR 603.39 - 615.83,PKR 547.40 (-12.0%),PKR 746.46 (+20.0%),PKR 870.87 (+40.0%),+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,50.9
SYS,swing,71.2,70,74,0,LIVE,yfinance(SYS.KA),BUY,ROE 22.4% (excellent) | D/E 1 (low leverage) | P/E 1.0 (deep value),"Supernet plans right issue of up to Rs914.8m The Board of Directors of Supernet Technologies Limited (PSX: STL) has approved, in principle, the compan | ITANZ secures strategic tech MoUs during PM's China visit iTANZ Technologies Limited (PSX:ITANZ)  signed Memorandums of Understanding (MoUs) with thre",Bullish,PKR 147.73,PKR 146.25 - 149.21,PKR 141.77 (-4.0%),PKR 152.69 (+3.4%),PKR 156.00 (+5.6%),+3.4%,+5.6%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,46.2
MARI,swing,71.2,70,74,0,LIVE,yfinance(MARI.KA),BUY,ROE 25.4% (excellent) | D/E 36 (low leverage) | P/E 11.7 (value),,Bearish,PKR 658.11,PKR 651.53 - 664.69,PKR 635.63 (-3.4%),PKR 676.85 (+2.8%),PKR 689.34 (+4.7%),+2.8%,+4.7%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,54.4
DGKC,swing,71.1,75,62,0,LIVE,yfinance(DGKC.KA),BUY,ROE 12.1% (fair) | D/E 18 (low leverage) | P/E 7.4 (deep value),,Bearish,PKR 193.88,PKR 191.94 - 195.82,PKR 181.87 (-6.2%),PKR 203.88 (+5.2%),PKR 210.56 (+8.6%),+5.2%,+8.6%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,57.4
GAL,swing,71.0,N/A,71,0,LIVE,dps.psx.com.pk-spot,BUY [FUND-ONLY],ROE 41.5% (excellent) | D/E 6 (low leverage) | P/E 6.4 (deep value),,,,,,,,,,,,,
GLAXO,long_term,71.0,65,75,0,LIVE,yfinance(GLAXO.KA),ACCUMULATE,ROE 31.5% (excellent) | D/E 5 (low leverage) | P/E 10.5 (value),,BEARISH,PKR 346.29,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
GAL,long_term,71.0,N/A,71,0,LIVE,dps.psx.com.pk-spot,ACCUMULATE [FUND-ONLY],ROE 41.5% (excellent) | D/E 6 (low leverage) | P/E 6.4 (deep value),,,,,,,,,,,,,
AHCL,long_term,71.0,65,75,0,LIVE,yfinance(AHCL.KA),ACCUMULATE,ROE 23.6% (excellent) | D/E 12 (low leverage) | P/E 1.0 (deep value),,BEARISH,PKR 14.37,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
MUREB,very_long_term,71.0,75,70,0,LIVE,yfinance(MUREB.KA),ACCUMULATE,ROE 19.5% (good) | D/E 6 (low leverage) | P/E 7.4 (deep value),,BEARISH,PKR 933.00,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
GAL,very_long_term,71.0,N/A,71,0,LIVE,dps.psx.com.pk-spot,ACCUMULATE [FUND-ONLY],ROE 41.5% (excellent) | D/E 6 (low leverage) | P/E 6.4 (deep value),,,,,,,,,,,,,
COLG,long_term,70.8,75,68,0,LIVE,yfinance(COLG.KA),ACCUMULATE,ROE 51.3% (excellent) | D/E 5 (low leverage) | P/E 15.7 (fair),,BEARISH,"PKR 1,148.37",WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
FCCL,very_long_term,70.8,90,66,0,LIVE,yfinance(FCCL.KA),ACCUMULATE,ROE 17.1% (good) | D/E 41 (low leverage) | P/E 9.8 (value),,Bullish,PKR 52.90,PKR 48.05 - 50.78,PKR 42.32 (-20.0%),PKR 68.77 (+30.0%),PKR 95.22 (+80.0%),+30.0%,+80.0%,1 : 4.0,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,57.6
FATIMA,long_term,70.6,75,71,-3,LIVE,yfinance(FATIMA.KA),ACCUMULATE,ROE 22.7% (excellent) | D/E 15 (low leverage) | P/E 10.8 (value),"Oil industry opposes windfall tax in upcoming budget | Govt mulls scrapping export tax in budget | Solar panels, fertilizers may escape tax hike in upcoming budget The federal government is reportedly planning a series of tax relief measures in the ",BEARISH,PKR 139.66,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
AIRLINK,long_term,70.4,80,64,0,LIVE,yfinance(AIRLINK.KA),ACCUMULATE,ROE 32.9% (excellent) | D/E 4 (low leverage) | P/E 16.2 (fair),"Supernet plans right issue of up to Rs914.8m The Board of Directors of Supernet Technologies Limited (PSX: STL) has approved, in principle, the compan | ITANZ secures strategic tech MoUs during PM's China visit iTANZ Technologies Limited (PSX:ITANZ)  signed Memorandums of Understanding (MoUs) with thre",BEARISH,PKR 154.88,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
SCBPL,long_term,70.2,75,67,0,LIVE,yfinance(SCBPL.KA),ACCUMULATE,ROE 25.4% (excellent) | P/E 10.3 (value) | Div yield 10.1% (high income),,BEARISH,PKR 64.40,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
BWCL,very_long_term,70.0,50,75,0,LIVE,yfinance(BWCL.KA),ACCUMULATE,ROE 25.3% (excellent) | D/E 67 (moderate) | P/E 10.8 (value),,BEARISH,PKR 439.02,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
LUCK,swing,69.9,75,58,0,LIVE,yfinance(LUCK.KA),BUY,ROE 22.8% (excellent) | D/E 33 (low leverage) | P/E 39.5 (expensive),,Bearish,PKR 437.14,PKR 432.77 - 441.51,PKR 414.41 (-5.2%),PKR 456.08 (+4.3%),PKR 468.71 (+7.2%),+4.3%,+7.2%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,54.8
FATIMA,very_long_term,69.8,75,71,-3,LIVE,yfinance(FATIMA.KA),ACCUMULATE,ROE 22.7% (excellent) | D/E 15 (low leverage) | P/E 10.8 (value),"Oil industry opposes windfall tax in upcoming budget | Govt mulls scrapping export tax in budget | Solar panels, fertilizers may escape tax hike in upcoming budget The federal government is reportedly planning a series of tax relief measures in the ",BEARISH,PKR 139.66,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
PIBTL,swing,69.8,80,46,0,LIVE,yfinance(PIBTL.KA),BUY,ROE 11.8% (fair) | D/E 17 (low leverage) | P/E 13.8 (fair),,Bullish,PKR 16.69,PKR 16.52 - 16.86,PKR 15.63 (-6.4%),PKR 17.58 (+5.3%),PKR 18.17 (+8.9%),+5.3%,+8.9%,1 : 1.4,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,53.1
IBFL,swing,69.5,80,45,0,LIVE,yfinance(IBFL.KA),BUY,ROE -0.8% (weak) | D/E 24 (low leverage) | P/E 1.0 (deep value),,Bearish,PKR 231.01,PKR 228.70 - 233.32,PKR 207.09 (-10.4%),PKR 250.94 (+8.6%),PKR 264.24 (+14.4%),+8.6%,+14.4%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,65.3
COLG,very_long_term,69.4,75,68,0,LIVE,yfinance(COLG.KA),ACCUMULATE,ROE 51.3% (excellent) | D/E 5 (low leverage) | P/E 15.7 (fair),,BEARISH,"PKR 1,148.37",WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
MCB,swing,69.1,75,52,1,LIVE,yfinance(MCB.KA),BUY,ROE 18.7% (good) | P/E 9.1 (value) | Div yield 8.8% (high income),"SBP adds SAR, AED to Naya Pakistan Certificates The State Bank of Pakistan has issued updated rates of return for Conventional Naya Pakistan Certifica | Pakistan targets 4% GDP growth in FY27 Pakistan has set a GDP growth target of 4% for fiscal year 2026-27, banking on a recovery across agriculture, i",Bullish,PKR 407.38,PKR 403.31 - 411.45,PKR 394.01 (-3.3%),PKR 418.52 (+2.7%),PKR 425.95 (+4.6%),+2.7%,+4.6%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,55.3
FABL,long_term,69.0,90,55,0,LIVE,yfinance(FABL.KA),ACCUMULATE,ROE 20.6% (excellent) | P/E 6.3 (deep value) | Div yield 7.2% (solid),,Bullish,PKR 89.79,PKR 87.10 - 88.89,PKR 79.02 (-12.0%),PKR 107.75 (+20.0%),PKR 125.71 (+40.0%),+20.0%,+40.0%,1 : 3.34,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,56.0
KTML,swing,69.0,75,55,0,LIVE,yfinance(KTML.KA),BUY,ROE 13.9% (fair) | D/E 20 (low leverage) | P/E 7.9 (deep value),"Idrees Textile shifts to value-added products Idrees Textile Mills Limited is charting a new course. The Company's Board of Directors, convening on Ju | Idrees Textile shifts to value-added products",Bearish,PKR 47.20,PKR 46.73 - 47.67,PKR 42.86 (-9.2%),PKR 50.82 (+7.7%),PKR 53.23 (+12.8%),+7.7%,+12.8%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,50.2
MTL,very_long_term,69.0,25,80,0,LIVE,yfinance(MTL.KA),ACCUMULATE,ROE 97.4% (excellent) | D/E 29 (low leverage) | P/E 15.7 (fair),,BEARISH,PKR 284.79,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
APL,very_long_term,68.8,65,71,-1,LIVE,yfinance(APL.KA),ACCUMULATE,ROE 26.2% (excellent) | D/E 16 (low leverage) | P/E 3.9 (deep value),Oil industry opposes windfall tax in upcoming budget | Pakistan's Oil Supply Chain Amid Regional Conflict: Observations and the Path Forward,Bullish,PKR 546.66,PKR 502.93 - 524.79,PKR 437.33 (-20.0%),PKR 710.66 (+30.0%),PKR 983.99 (+80.0%),+30.0%,+80.0%,1 : 4.0,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,38.4
SCBPL,very_long_term,68.6,75,67,0,LIVE,yfinance(SCBPL.KA),ACCUMULATE,ROE 25.4% (excellent) | P/E 10.3 (value) | Div yield 10.1% (high income),,BEARISH,PKR 64.40,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
RMPL,swing,68.2,70,64,0,LIVE,yfinance(RMPL.KA),BUY,ROE 22.0% (excellent) | D/E 6 (low leverage) | P/E 13.5 (fair),,Bullish,"PKR 9,687.50","PKR 9,590.62 - 9,784.38","PKR 9,389.29 (-3.1%)","PKR 9,936.00 (+2.6%)","PKR 10,101.67 (+4.3%)",+2.6%,+4.3%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,68.2
MLCF,swing,68.1,75,52,0,LIVE,yfinance(MLCF.KA),BUY,ROE 15.9% (good) | D/E 138 (high) | P/E 8.4 (value),,Bearish,PKR 88.02,PKR 87.14 - 88.90,PKR 81.85 (-7.0%),PKR 93.16 (+5.8%),PKR 96.59 (+9.7%),+5.8%,+9.7%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,53.0
GLAXO,swing,68.0,65,75,0,LIVE,yfinance(GLAXO.KA),BUY,ROE 31.5% (excellent) | D/E 5 (low leverage) | P/E 10.5 (value),,Bearish,PKR 346.29,PKR 342.83 - 349.75,PKR 329.17 (-4.9%),PKR 360.56 (+4.1%),PKR 370.06 (+6.9%),+4.1%,+6.9%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,49.5
YOUW,very_long_term,68.0,60,70,0,LIVE,yfinance(YOUW.KA),ACCUMULATE,ROE 17.0% (good) | D/E 17 (low leverage) | P/E 1.0 (deep value),,Bullish,PKR 5.76,PKR 5.30 - 5.53,PKR 4.61 (-20.0%),PKR 7.49 (+30.0%),PKR 10.37 (+80.0%),+30.0%,+80.0%,1 : 4.01,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,47.8
AHCL,swing,68.0,65,75,0,LIVE,yfinance(AHCL.KA),BUY,ROE 23.6% (excellent) | D/E 12 (low leverage) | P/E 1.0 (deep value),,Bearish,PKR 14.37,PKR 14.23 - 14.51,PKR 13.65 (-5.0%),PKR 14.97 (+4.2%),PKR 15.37 (+7.0%),+4.2%,+7.0%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,51.3
FHAM,long_term,67.8,75,63,0,LIVE,yfinance(FHAM.KA),HOLD,ROE 14.3% (fair) | D/E 0 (low leverage) | P/E 4.2 (deep value),,BEARISH,PKR 31.73,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
ABOT,very_long_term,67.6,50,72,0,LIVE,yfinance(ABOT.KA),HOLD,ROE 28.6% (excellent) | D/E 5 (low leverage) | P/E 10.4 (value),,BEARISH,PKR 884.95,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
EFERT,very_long_term,67.6,60,72,-3,LIVE,yfinance(EFERT.KA),HOLD,ROE 55.9% (excellent) | D/E 93 (moderate) | P/E 11.9 (value),"Oil industry opposes windfall tax in upcoming budget | Govt mulls scrapping export tax in budget | Solar panels, fertilizers may escape tax hike in upcoming budget The federal government is reportedly planning a series of tax relief measures in the ",BEARISH,PKR 202.41,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
SSGC,swing,67.6,85,27,0,LIVE,yfinance(SSGC.KA),WATCH,ROE -16.9% (weak) | D/E 1105 (very high leverage) | P/E 1.0 (deep value),,Bearish,PKR 27.27,PKR 27.00 - 27.54,PKR 25.24 (-7.4%),PKR 28.96 (+6.2%),PKR 30.09 (+10.3%),+6.2%,+10.3%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,54.0
APL,long_term,67.6,65,71,-1,LIVE,yfinance(APL.KA),HOLD,ROE 26.2% (excellent) | D/E 16 (low leverage) | P/E 3.9 (deep value),Oil industry opposes windfall tax in upcoming budget | Pakistan's Oil Supply Chain Amid Regional Conflict: Observations and the Path Forward,Bullish,PKR 546.66,PKR 530.26 - 541.19,PKR 481.06 (-12.0%),PKR 655.99 (+20.0%),PKR 765.32 (+40.0%),+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,38.4
LCI,very_long_term,67.2,40,74,0,LIVE,yfinance(LCI.KA),HOLD,ROE 17.3% (good) | D/E 30 (low leverage) | P/E 1.0 (deep value),,BEARISH,PKR 225.62,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
SRVI,swing,67.2,75,49,0,LIVE,yfinance(SRVI.KA),WATCH,ROE 49.8% (excellent) | D/E 52 (moderate) | P/E 86.2 (expensive),,Bullish,"PKR 2,091.27","PKR 2,070.36 - 2,112.18","PKR 1,970.26 (-5.8%)","PKR 2,192.11 (+4.8%)","PKR 2,259.34 (+8.0%)",+4.8%,+8.0%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,82.3
NPL,very_long_term,67.2,60,69,0,LIVE,yfinance(NPL.KA),HOLD,ROE 10.6% (fair) | D/E 0 (low leverage) | P/E 8.1 (value),,Bullish,PKR 69.29,PKR 63.75 - 66.52,PKR 55.43 (-20.0%),PKR 90.08 (+30.0%),PKR 124.72 (+80.0%),+30.0%,+80.0%,1 : 4.0,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,42.9
DGKC,long_term,67.2,75,62,0,LIVE,yfinance(DGKC.KA),HOLD,ROE 12.1% (fair) | D/E 18 (low leverage) | P/E 7.4 (deep value),,BEARISH,PKR 193.88,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
AIRLINK,very_long_term,67.2,80,64,0,LIVE,yfinance(AIRLINK.KA),HOLD,ROE 32.9% (excellent) | D/E 4 (low leverage) | P/E 16.2 (fair),"Supernet plans right issue of up to Rs914.8m The Board of Directors of Supernet Technologies Limited (PSX: STL) has approved, in principle, the compan | ITANZ secures strategic tech MoUs during PM's China visit iTANZ Technologies Limited (PSX:ITANZ)  signed Memorandums of Understanding (MoUs) with thre",BEARISH,PKR 154.88,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
HBL,long_term,67.0,90,50,1,LIVE,yfinance(HBL.KA),HOLD,ROE 15.1% (good) | P/E 6.7 (deep value) | Div yield 7.0% (solid),"SBP adds SAR, AED to Naya Pakistan Certificates The State Bank of Pakistan has issued updated rates of return for Conventional Naya Pakistan Certifica | Pakistan targets 4% GDP growth in FY27 Pakistan has set a GDP growth target of 4% for fiscal year 2026-27, banking on a recovery across agriculture, i",Bullish,PKR 287.68,PKR 279.05 - 284.80,PKR 253.16 (-12.0%),PKR 345.22 (+20.0%),PKR 402.75 (+40.0%),+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,52.6
TRG,long_term,67.0,85,55,0,LIVE,yfinance(TRG.KA),HOLD,ROE -13.7% (weak) | D/E 21 (low leverage) | P/E 1.0 (deep value),"Supernet plans right issue of up to Rs914.8m The Board of Directors of Supernet Technologies Limited (PSX: STL) has approved, in principle, the compan | TRG confirms Chishti-linked share transfer TRG Pakistan Limited (TRGP) has formally confirmed that the massive block of shares recently acquired by JS | ITANZ secures strategic tech MoUs during PM's China visit iTANZ Technologies Limited (PSX:ITANZ)  signed Memorandums of Understanding (MoUs) with thre",Bullish,PKR 74.06,PKR 61.64 - 73.32,PKR 65.17 (-12.0%),PKR 88.87 (+20.0%),PKR 103.68 (+40.0%),+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,74.1
HALEON,very_long_term,66.8,50,71,0,LIVE,yfinance(HALEON.KA),HOLD,ROE 50.1% (excellent) | D/E 7 (low leverage) | P/E 13.6 (fair),,BEARISH,PKR 759.92,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
TGL,very_long_term,66.6,85,62,0,LIVE,yfinance(TGL.KA),HOLD,ROE 18.2% (good) | D/E 4 (low leverage) | P/E 7.2 (deep value),,BEARISH,PKR 177.26,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
THALL,very_long_term,66.6,85,62,0,LIVE,yfinance(THALL.KA),HOLD,ROE 17.2% (good) | D/E 6 (low leverage) | P/E 5.5 (deep value),,Bullish,PKR 622.05,PKR 572.29 - 597.17,PKR 497.64 (-20.0%),PKR 808.66 (+30.0%),"PKR 1,119.69 (+80.0%)",+30.0%,+80.0%,1 : 4.0,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,50.9
